                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.8772,                 1.5125,                 2.4228,                0.47955,                0.57692,                0.53915,                0.31858,                 1.6535,                 2.3475,                 2.1955,              0.0013268,              0.0013268,              0.0013268
                    104,                  2.028,                 1.6511,                 2.4973,                0.45672,                0.30769,                0.39811,                0.20104,                 1.9051,                 4.0171,                 2.4461,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.7314,                 1.4296,                 2.2482,                0.45672,                0.30769,                0.39811,                0.20104,                 1.9051,                 4.0171,                 2.4461,              0.0013136,              0.0013136,              0.0013136
                    106,                 2.0156,                 1.6448,                 2.5106,                0.60665,                0.11538,                0.14309,                0.06368,                 2.5042,                 8.1742,                 2.8561,               0.001307,               0.001307,               0.001307
                    107,                 2.0699,                 1.7122,                 2.6032,                0.60665,                0.11538,                0.14309,                0.06368,                 2.5042,                 8.1742,                 2.8561,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.8683,                 1.5709,                 2.4553,                0.04295,                0.57692,                0.04236,                0.01999,                 2.0341,                 7.7963,                 2.5237,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.9676,                 1.4992,                 2.4246,                0.04295,                0.57692,                0.04236,                0.01999,                 2.0341,                 7.7963,                 2.5237,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.9598,                 1.4731,                  2.464,                 0.0504,                0.73077,                0.05099,                0.02612,                 1.7395,                  6.554,                 2.3167,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.9975,                   1.48,                 2.5069,                 0.0504,                0.73077,                0.05099,                0.02612,                 1.7395,                  6.554,                 2.3167,               0.001274,               0.001274,               0.001274
                    112,                 1.9333,                  1.708,                   2.47,                0.39473,                0.34615,                0.41547,                0.21308,                 1.7831,                 3.8507,                 2.3174,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.8283,                 1.3427,                 2.3155,                0.39473,                0.34615,                0.41547,                0.21308,                 1.7831,                 3.8507,                 2.3174,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.8815,                 1.3686,                 2.3303,                0.83416,                0.84615,                0.93601,                0.45597,                 1.7622,                  1.812,                 2.3191,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.9757,                 1.5269,                 2.5042,                0.83416,                0.84615,                0.93601,                0.45597,                 1.7622,                  1.812,                 2.3191,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.9098,                   1.38,                 2.4094,                0.90022,                0.69405,                0.91473,                0.55418,                 1.5162,                 1.5741,                 2.1662,               0.001241,               0.001241,               0.001241
                    117,                 1.8254,                 1.5274,                 2.3405,                0.90022,                0.69405,                0.91473,                0.55418,                 1.5162,                 1.5741,                 2.1662,              0.0012344,              0.0012344,              0.0012344
                    118,                  1.811,                  1.398,                 2.3481,                0.95158,                0.75625,                 0.9378,                0.58921,                 1.4416,                 1.5901,                 2.1039,              0.0012278,              0.0012278,              0.0012278
                    119,                  1.805,                 1.4245,                 2.3732,                0.95158,                0.75625,                 0.9378,                0.58921,                 1.4416,                 1.5901,                 2.1039,              0.0012212,              0.0012212,              0.0012212
                    120,                 2.1014,                 1.5987,                 2.5496,                0.95902,                0.80769,                0.93319,                0.55061,                 1.5438,                 2.4599,                 2.1563,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.6864,                 1.4181,                 2.2367,                0.95902,                0.80769,                0.93319,                0.55061,                 1.5438,                 2.4599,                 2.1563,               0.001208,               0.001208,               0.001208
                    122,                 1.7023,                 1.3453,                 2.2447,                0.88949,                0.76923,                0.86333,                0.54742,                 1.5282,                  3.391,                 2.1224,              0.0012014,              0.0012014,              0.0012014
                    123,                 1.6787,                 1.4123,                 2.2956,                0.88949,                0.76923,                0.86333,                0.54742,                 1.5282,                  3.391,                 2.1224,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.6731,                  1.365,                  2.223,                0.83947,                0.84615,                0.91995,                  0.505,                 1.6153,                 2.0187,                 2.2329,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.6921,                 1.3212,                 2.1898,                0.83947,                0.84615,                0.91995,                  0.505,                 1.6153,                 2.0187,                 2.2329,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.7947,                 1.3387,                 2.3269,                0.78131,                0.68726,                0.78475,                 0.4197,                 1.6316,                 1.6695,                  2.281,               0.001175,               0.001175,               0.001175
                    127,                 1.6584,                 1.3084,                 2.2395,                0.78131,                0.68726,                0.78475,                 0.4197,                 1.6316,                 1.6695,                  2.281,              0.0011684,              0.0011684,              0.0011684
